block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446111,2024-12-20 20:26:47,0x233e263f583e41bf4462473629fac9aa7f230dfadad16c5daba54c45136c746f,277,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,75800,79600,0,0,0
21446114,2024-12-20 20:27:23,0x8a2ad650d7b932b4bbb96b4fc754b97a7b97a570d2cd43f25cfda2e2eb2cb3e0,31,0x119f33c3266dd5ed81a9db08d5033d4052e1e145,127920,139620,15744146117408279556868,152746290763902936,7325104551095694565031460
21446114,2024-12-20 20:27:23,0x8a2ad650d7b932b4bbb96b4fc754b97a7b97a570d2cd43f25cfda2e2eb2cb3e0,33,0x119f33c3266dd5ed81a9db08d5033d4052e1e145,127920,139620,0,0,0
21446122,2024-12-20 20:28:59,0x1fff752948a331fd5ced387371da87bad589e252d39133b6487a3a287221e315,39,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-194820,-194760,3492749383162091738,134768318663575833228,149050150045
21446130,2024-12-20 20:30:35,0x2671d7d8f440fe98106d797ad87907dc1481921858c1769f04042e73a7eec25a,446,0xeba623e4f5c7735427a9ef491ecee082dd4bf6ce,338600,368200,0,0,0
21446133,2024-12-20 20:31:11,0x2757129e15b0d5c396e357d280c22051b018479232686d00934e3fbde717d509,16,0x4628a0a564debfc8798eb55db5c91f2200486c24,-61440,-61380,49784907254253303627776,531754177910778660688,5782506637180838975
21446136,2024-12-20 20:31:47,0x817fe3cfb878118f1197708bc1615690141694d87d8c73ca39f574f19b550853,100,0x360acf12e72044ba3eaaa654e51e4725c699dcb1,-64140,-63240,627029666637849137585,681486347793261355325,0
21446137,2024-12-20 20:31:59,0x8f17acb97ed0816d9f8dc1d749a16b05c116df50475e21219660c9b6ed270daf,25,0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,-145020,-144960,197413334734111506432,807477350341847872462,12945613261760
21446138,2024-12-20 20:32:11,0x99ae6a71a52e5131e5fc725c821a6e13f41517b97ecf572fffdb54a0afe355e8,76,0x3be033b60bc4aa789368954595332fab143987ec,-90600,138200,2026946013373345204,181403671043625670206,791389254539318
21446141,2024-12-20 20:32:47,0xfca96890d3182fed6dbbb7000fde73206af4a30de024ee6999686d15c3e4b038,216,0x9ba3f47fe7f5a12562ba0a4a5645d8bf9ea1dd8e,-206800,-194400,0,0,0
21446143,2024-12-20 20:33:11,0x351ab09c9a9e6bbcb76aed96154fccb40503b040d0a7d116923d59bf92d179dc,481,0x2a4d547ea2c35d03a501a8bb5d12d81d0a222dc5,72600,77400,0,0,0
21446146,2024-12-20 20:33:47,0x8cd09efc20985b75a31b1bf499a2f29ce45c7f1d9b74103fc74cb365a115490e,162,0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,-70740,-56880,0,0,0
21446161,2024-12-20 20:36:47,0x4af18ccf4caa32368fc1249d0f727a24af87a8510d9932f847f900c94bd6d7d1,149,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-201000,-192900,48080831548370,76241362572144719,747075857
21446162,2024-12-20 20:36:59,0x3a738d727e7ebadc62b9b8056238f929560e9f75b34fd0155dc935b0fd5ede42,125,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,262210,262930,662348464630625,0,11987836556462764342
21446175,2024-12-20 20:39:35,0x97c2b1787f23ab712db72f32b05ed79d7e64b07940d761c0b500fc29b1f93b48,231,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76800,79800,0,0,0
21446182,2024-12-20 20:40:59,0x792a12a6e5c000db726da51ed5f80b51cee54430c3e153451b66c5692a7235ad,308,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,74400,78000,535135596464477968659,0,4353915149145231928414
21446189,2024-12-20 20:42:23,0x14e8b372c9210accc485b6035993d9205e0695b98ce909f0e85ab24d775b624a,20,0x120ffad35bb97a5baf9ab68f9dd7667864530245,-156400,-156200,70516240452167303526612992,4174527243541525436797317,284038809181871669417
21446192,2024-12-20 20:42:59,0x69fe55a317682a70e0dbcbca835a8aaf31d733f5b4e0446f3ebbf6a0d37390c0,133,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,193890,195610,0,0,0
21446194,2024-12-20 20:43:23,0xb25d24a22b6e4f1372730a53c25b57afcc7f9c88bcfb1ded58405cdd4af9b760,22,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,263590,263600,6881017058265534464,5857694073,180127011174414522121
21446196,2024-12-20 20:43:47,0xc7453f1564b4941ec4d982d4956acdf7cc49841c5abfaa9a4165eb1a4b655465,192,0x4261a2fc11abd29697513f197fccf09fb45ec346,-43260,-29400,0,0,0
21446199,2024-12-20 20:44:23,0x0146b37de53889644a3c3455ea532ecb5955741656df94a00fbd50a157dc9cd5,26,0x18312ed6917682c815e16eb28d85701d20474d54,-306200,-299400,0,0,0
21446204,2024-12-20 20:45:23,0x492cd6a66c9fc69ded27d5b5139d95fdc505c3d28789aaae4070302763c32b9b,115,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,75600,79800,0,0,0
21446209,2024-12-20 20:46:23,0x607a617ff88ccbb7821a91c47b8fee2277acecdf9e372f282a495a6d61d1afae,50,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,193620,195060,6228866964238409,3551408090,6401055382114777358
21446226,2024-12-20 20:49:47,0x5219f8546d01b9d5d809c81b8f6fdc6e55a5c9e50534a4909fd4727680f31288,66,0x7b3ed3a3444144ff526554d5f4aa463d1759f51a,92600,92800,5825280899839805117102,536297184103564758,307049885245196139500
21446234,2024-12-20 20:51:23,0xca17257d5ebd01c483ae3ed2593e862e494f9116a103dd5809ed91f73354fea9,221,0x844eb5c280f38c7462316aad3f338ef9bda62668,-118400,-113200,8980915769404876162646,765480338024039955462245,0
21446248,2024-12-20 20:54:11,0xe7e874e6dd8ab46425dc4afc75797fdb0de02bf9c84acda5b529a32d005dc11d,126,0xc4ce8e63921b8b6cbdb8fcb6bd64cc701fb926f2,-141600,-136200,0,0,0
21446250,2024-12-20 20:54:35,0x6e3ea3dfc930c12dc48a2c74fbb8e6ee20fb633eeb6a027a2e9911acc8dab356,120,0x6981449ddaa030f83bc5ac9fde1c19544521906e,-171600,-169800,1235361731768367711984931,0,21859660322045231245
21446250,2024-12-20 20:54:35,0x799599ab800a53873da07a713b17820cf31a0426bfa0b75090126646833e5623,397,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,79200,82620,543787436390551205063,1629603813659179498,0
21446260,2024-12-20 20:56:35,0x7fbafc7e18c4c83f7b6ab816305452a2deec11d1e4219deef8ca95899650f97f,28,0x0c30062368eefb96bf3ade1218e685306b8e89fa,132200,132400,1214450639153659904,16279670062784,0
21446263,2024-12-20 20:57:11,0x69111f393ed1f200d64a0ca671dac439bd02a26d2639334263e76c281307bda3,278,0x25b96761e765b9ac20db18fa57fa91e3b617ec6f,-77000,-66400,0,0,0
21446265,2024-12-20 20:57:35,0x22c09f3e97e05a586cb77d1a8dfdaa6162db75866cf6f940b3940acbd3869d17,119,0x8165973773398de598ffaa7e754d3156af169d67,-887220,887220,32575244946715683320,24444863791867647,43409797345303652287015
21446270,2024-12-20 20:58:35,0x5cc3dad0b424f5c3f8bb113fe4e5da149a11e5a0f81888beb6980bfebdf6a079,364,0xd31d41dffa3589bb0c0183e46a1eed983a5e5978,-108420,-107280,0,0,0
21446277,2024-12-20 20:59:59,0xfbf1b85a16d3e6e5f460adfbfaf53ac8d29d57f12f0772e1b30ca58278c68354,124,0xae79bb5624746a74b8388f891ce0962e97301f64,150600,154380,13547487275214861746162,549999999999999999,2697797630032822562177787
21446277,2024-12-20 20:59:59,0xa65016aebfbe9ca8e5f568253eb381dd9f35e4b13b03200fc48f395271f33ad7,470,0xe936f0073549ad8b1fa53583600d629ba9375161,-60800,-58600,0,0,0
21446277,2024-12-20 20:59:59,0xa65016aebfbe9ca8e5f568253eb381dd9f35e4b13b03200fc48f395271f33ad7,476,0xe936f0073549ad8b1fa53583600d629ba9375161,-60800,-58600,5113560457634642435067,11133135465716005707932,0
21446279,2024-12-20 21:00:23,0xb2df830f3e1a60c233e7c1bf979767a4175edcd54455a289d536d2e1039dd658,151,0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,-82800,-81600,27976154000721825888912,0,27550000000000000709
21446281,2024-12-20 21:00:47,0xb0df799ac8469292c233efcc3d6b0ae2b8e06424bf971adfe5118ee042e3f053,149,0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,-25,-22,3406206935498,0,510305564
21446286,2024-12-20 21:01:47,0x3d971cb5a7a90a2d4d3380b3fb0c2916a22e188de7a257ccca0aad6ac9a2970d,307,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,76500,78000,2441731893580748940367,3849999999999999999,0
21446290,2024-12-20 21:02:35,0x2875dde3aa081927524ee4b287428b6d4f9c78eee5665bbbae327258133a8775,147,0x95a45a87dd4d3a1803039072f37e075f37b23d75,-73600,-71000,778327809488563030846,1111526098809450644639,1844506379188564331
21446290,2024-12-20 21:02:35,0x2875dde3aa081927524ee4b287428b6d4f9c78eee5665bbbae327258133a8775,149,0x95a45a87dd4d3a1803039072f37e075f37b23d75,-73600,-71000,0,0,0
21446290,2024-12-20 21:02:35,0x55a69880603f389323812b194b71577a3c8c6c8f4a4861642257cd0d9a5879d6,316,0xfcfdfc98062d13a11cec48c44e4613eb26a34293,83000,84800,25115952278425828477912,34083385782818690433,0
21446295,2024-12-20 21:03:35,0x9b5415b249466a47e251af1e3a336fad480c2d43b88dd6a6f03c5354bdeb8ddc,34,0x6a68dc44a6d446734fe0a4e5ec7bb37f1862279f,-219400,-219200,5545200579927246752448512,2737692356229269111393596046,138483149502862634
21446298,2024-12-20 21:04:11,0x00459f18684a4fb38633166517f75530a77f346b61f0136be50d8c89441b9e8b,374,0x43e7ade137b86798654d8e78c36d5a556a647224,124000,125600,26718895059398256,0,1096136495675993694
21446299,2024-12-20 21:04:23,0x9c46b105a5412a801c8efe3f18a8e46c63995ee3e9c0df195e3c12f1be2da22b,164,0xc8219b876753a85025156b22176c2edea17aac53,-71400,-71340,197366409847230026481664,10006305019786779187503,8726546338467860380
21446305,2024-12-20 21:05:35,0x04b3d51dd1ccb96a7c1fb8baf0d9485609d83d95ca2b8af7ab3475250d2fc91e,60,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,-180660,-178980,20539964473337211,0,214999999999
21446311,2024-12-20 21:06:47,0x070651d34beab8ffaa018c9e26f77a361e80910d9c18fde493db1e6a97e915bf,47,0x75bf01e48c9ec8bfd7c2954aca7ebc61b1b44246,-5400,3400,37264561207496270372992151791,0,15722103861558848603440563529
21446312,2024-12-20 21:06:59,0x4ddcf82acb8a643540f1ca6661c75d220e59e0d0f970e4d703716760d7c38e8c,35,0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,-58500,-53540,41250903850569363349,66469794921923347033,340066447517006178
21446312,2024-12-20 21:06:59,0x3147d3410bd119b4f26baf5a2a5cdfe13abca5cd818150b118aecfed9668fdfb,60,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,193650,193770,20140157508966378,0,1942414677916279693
21446314,2024-12-20 21:07:23,0x5855bc075b97fc33a302c656100ca6709edd77004bee8df36219ea0b903bf7cd,32,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,193340,193460,29685495222228158,0,2818981066119336397
