block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446104,2024-12-20 20:25:23,0xad305ea0731458691041fa8a50b98e8acdf182e31f0124ad679bb1009afb57bc,298,0xfd76be67fff3bac84e3d5444167bbc018f5968b6,65600,78400,243887626900670239472,101790063815031404,5556054316896248390582
21446111,2024-12-20 20:26:47,0xea1a7abd784688cdb6e82ccd729104fbcdaeba3f5d68f2cbf7965bc7e72eff3c,296,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-198120,-193080,222327071057865,312240929218856415,1998819836
21446117,2024-12-20 20:27:59,0x367164bccb43122ed101b1a810c21b2492bd4c92a8bdcb601a6f2473d1d5755f,300,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,78400,79800,225379121257893483789,302363847865289824,0
21446119,2024-12-20 20:28:23,0x4aa311472d72300cddcdd4a91921225447da63aff399ec67ba7b9322d7e7bcb0,344,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76800,80000,36798908295770753280,61123525879153875,129999999999999998848
21446122,2024-12-20 20:28:59,0xabe632584c7151bb9b7003381101ea0b845f580234000a31e4aa6fe06e0c7a38,18,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,-194820,-194760,3492749383162091738,138113884176403169910,137447089092
21446124,2024-12-20 20:29:23,0x7cd2aad3dab4135eb51c5ec81e7044b66a6b54974806c6dd6ae996df6630bc18,140,0x331399c614ca67dee86733e5a2fba40dbb16827c,-244000,-241200,198316587227394400937352,0,150000000000000000
21446133,2024-12-20 20:31:11,0x9c925e4de489c287180493ead9c2c56e51f7bd71b626d14b1aab9f91243d791f,5,0x4628a0a564debfc8798eb55db5c91f2200486c24,-61440,-61380,49784907254253303627776,2522692695297895161016,1494509154914222671
21446137,2024-12-20 20:31:59,0x98156e6f19c71663638118f8f8452c702cfe683da1bec831ba51b9f6ec53a515,5,0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,-145020,-144960,197413334734111506432,794019237723444312526,19726113474970
21446172,2024-12-20 20:38:59,0x7ee470cd752c613ea36e8d071ea83efeb910a59581d72d65ec3efd9399f79cd0,140,0x2a4d547ea2c35d03a501a8bb5d12d81d0a222dc5,72600,77400,30485630877720029339,15349213194532619,277345708882718907103
21446184,2024-12-20 20:41:23,0xddf167249d4829dc99fbd1c46451a23a25a2116d8d0ec34d55e5f9f37899c53e,216,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76000,80400,280407563125417813382,568279827471157647,1499999999999999997920
21446189,2024-12-20 20:42:23,0x637808c045ee73e5d1af45ff8bf036c869cbacf2e77d7eb050ab1c7712f6ce7e,1,0x120ffad35bb97a5baf9ab68f9dd7667864530245,-156400,-156200,70516240452167303526612992,0,284726283090575885514
21446194,2024-12-20 20:43:23,0xf74eb894d9de7c268894b3676d3418d9a593e60a8cfbdb88d62f48a2a31e17a8,2,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,263590,263600,6881017058265534464,5725061542,217254312035084671430
21446197,2024-12-20 20:43:59,0x893fee930bd65d6d6defad20d501a257c7ef4345ca8646e38bb4609b9d0febf1,48,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,74600,81800,45292555986356524329,146775175769265074,379123609632640775745
