block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token0_symbol,token1_address,token1_symbol
21446311,2024-12-20 21:06:47,0xcc21d3569cd68fcdc8eac62e72b4a62b5dfbf8bf36e9d602e08d038cb56b944f,11,0xbaceb8ec6b9355dfc0269c18bac9d6e2bdc29c4f,0x5a334Dec0dFCA57A57d593759461987f13c621Aa,10000,0x2CC7A972ebC1865B346085655f929AbFa74CD4dC,SHIFU,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21446544,2024-12-20 21:53:23,0xd36ab9548b61b65567e5afefcd80a827d5654502ff4575edfa6f4c6037422c08,262,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0cFeb26642699dC872b8b9Ee0157aa556e8CedFc,3000,0x4FE732E529be93702ab4419efA757A39D52aCc0f,GMBL,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21446944,2024-12-20 23:13:47,0x71a414230587fedf4bf6db4f148d0a147ede10ae696e5a2017d386415b082746,260,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x73Ab0DEe82204D67fEb0D015C815F5D210F4D189,10000,0x6e15A54B5EcAc17e58daDedDbe8506a7560252F9,F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21447163,2024-12-20 23:57:35,0xd298170f583c13234a6336656d9614de37b8d8a06d9c7bb94ae453bd82d78d89,291,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x44634CE3b7e5ECCCdC0B3F6475426258Ed053261,3000,0x2CC7A972ebC1865B346085655f929AbFa74CD4dC,SHIFU,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21447928,2024-12-21 02:32:35,0x01f910f072daebd320ebf510be646e8274dd40273d941e99eb1560776fc39c49,226,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7AEC3f7240801ec265c05FcC4938d7ffC7a1Ce9D,10000,0x2C36204fbFB0F7595F0195bCf6ee408a98ec83f1,MineDog,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21447994,2024-12-21 02:46:23,0x116f82a6159870ab79781ecda8d02325d456f2e57d4146d9ffba6394faf0933c,29,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0d06a3525Ff72eD10dE5Dd4C43Da7ECBfBd9777d,3000,0x37aF91bB8a801Ac6C0f2BCd16A8BA87e7EEC89bd,TTT2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21448076,2024-12-21 03:02:59,0xbbba498a3f90dcc4ca2ec1df2f46b717d07db48f85b64f45baa572b158080c3b,114,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7cc3cF3E2a7714aBfAfeD084ece4f34466936A34,10000,0x4c601dc69AfFb0D4Fc8dE1Ac303705e432A4A27E,KCT,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21448080,2024-12-21 03:03:47,0x153c50e7ea82f3f6133ba3f324ca88c3cfba6df555be30457273b582264adce2,211,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x14b53051e734e0Dbad05fdaC559Bc4251d533B00,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xE42223278024F0571eb87610741014BAaBC94fb4,TTT3
21448094,2024-12-21 03:06:35,0x0ee6b0662141a75c7d05d9dc84c47769ec13de2de299b2f6e431ecab08160928,342,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x4049d923034964D2479719142ffc5926514B2C53,10000,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,USUAL
21448183,2024-12-21 03:24:23,0x1c5a3664744c8fefe90c0bbb41c6eae777639284892e6825df4a3acd813a919d,159,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x36dee1e8B4679c67d73C8361E943C3401aD77FE3,10000,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21448259,2024-12-21 03:39:47,0x7835b9ba453f3fe5e185b0aadd0d8e5ec5e3062301928a6477ca2bd5e906d3b7,223,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1e93aF505943276A39a3EcA60604462c467412E1,10000,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,0xd63070114470f685b75B74D60EEc7c1113d33a3D,USUALUSDC+
21448261,2024-12-21 03:40:11,0x1c08d3ba46e7ef528433dfac0956d3a17f1429113fa7786b0c36ef165025ee9e,212,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x66C21CF7FC549843D4742259D9D93cA79e12CBf3,3000,0x232C9b30BDD16d7961f3026880a22462009bA2aF,TTT1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21448312,2024-12-21 03:50:35,0xc5cfd06b176855bba752ac3fd0598963523473eabb0384d18bcc41415d0e227b,3,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x4a3511416b47F86938158a71926c9fe21F043b76,3000,0xA85B2d51D4717e3169a864Ca33a471a3ab2FD0Ac,TTT5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21448367,2024-12-21 04:01:35,0x071e3f5128d2353dd4a94df732d7d603bda73ccd0009229213ec21a6a89dff4e,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x779d8c94342324FCF40aF55AEae44a1E654C2550,10000,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21448415,2024-12-21 04:11:11,0xa3827662b161d4bcfb8de5a374c2eb06c19983268dacfa6b96ca43b3ef38bba3,206,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1E9984AaFd0F2d4F75a8c6aB3D7CACD2a9b5e938,3000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0xeFc0CED4B3D536103e76a1c4c74F0385C8F4Bdd3,PYTH
21449403,2024-12-21 07:30:35,0xb19f388a0de364d844b37b3f183c3b2b87a76a1554340b01000bc12b199e36f6,119,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x0037337BFEA0cA0Bd1Ef594dc73d36C1818AeaB0,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xD1A5ee9783b3fC38fFf164ccE3Cc6c419C9D9176,AoS
21449635,2024-12-21 08:17:11,0xcee277a31a9617ecfe24fa7a416454ad20fb51a3541038d4859b7878014db054,309,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x271aa3CEEa42781B41f075dcaCd9a9B3a2Ef27F8,10000,0x44ff8620b8cA30902395A7bD3F2407e1A091BF73,VIRTUAL,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21450311,2024-12-21 10:33:23,0xd2841ed323b2f9d3cbe887d5e05de1d7caec975ba19bceff7b2e30cd12bcc205,243,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xB9AE43F91Aa06d44D0d56E293250fd4dF1bfDc2c,100,0x64c5cbA9A1BfBD2A5faf601D91Beff2dCac2c974,MYSTERY,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21450853,2024-12-21 12:21:59,0x225134c363a542823d350166c409f2e6d756a698a57fb8ae350389a9da8e6828,64,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x74F31B5C7D926650743bBa18533B9CCA6d445883,3000,0x66a1E37c9b0eAddca17d3662D6c05F4DECf3e110,USR,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21451589,2024-12-21 14:50:11,0xaefbc69dc79260ce57d64da2fa50882e3e3f71966436dd4822ca852a413b360e,151,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9da150d1A3f92f849b9E1C39931eC6994791E089,3000,0x0856F2fDC8E83a2A787B64eaB76fb5c5A470ed6e,TTE1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21451641,2024-12-21 15:00:35,0xd9d00718a0872eac85d921fb414d3f439c45074a6ea1174f4e7ad8bb3e29a853,114,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1c383457c2F720600a6d24Ae6368a42aefEE3e4d,3000,0xA42E924eC1Ec1B234BEDFE0691230db08B81AA8F,TTE1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
