block_number,timestamp,tx_hash,log_index,pool_contract_address,amount0,amount1,sqrt_price_x96,liquidity,tick
21446118,2024-12-20 20:28:11,0x5e9d99a3a9407ce824e5f886b927810c6a84bbb98e21bbdd8d3678686c5113e8,76,0x21edad4d801974a824404e4ed4b3bd95ab876b34,148687500000000,-1.03458960978928E+020,6.64214902106132E+031,1.35362764546983E+023,134635
21446143,2024-12-20 20:33:11,0xe3547c10939b3a317541f0b07ac4ed7de5e4e496d3d1a56134966d1213642551,69,0x21edad4d801974a824404e4ed4b3bd95ab876b34,5.82418333065241E+016,-4.0511025E+022,6.63977790069963E+031,1.35362764546983E+023,134628
21446177,2024-12-20 20:39:59,0x137db1d9b84407ecf010d4890f76aea862287d1f86ead903f3340255ba351c81,105,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.43909939305928E+017,1.733E+023,6.64981975985017E+031,1.35362764546983E+023,134658
21446185,2024-12-20 20:41:35,0x3d7da032c10ad6fe37f2b3b25338f732444c3902745a717ec72429594c7eba15,184,0x21edad4d801974a824404e4ed4b3bd95ab876b34,5E+016,-3.48604109995954E+022,6.6477793713303E+031,1.35362764546983E+023,134652
21446197,2024-12-20 20:43:59,0x85a3409a698f925ad4b7871a4c614948d3b8beb333d885c336aa5e2cbbaf6f76,560,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.24155777910552E+016,-8.6529275956836E+021,6.64727291332757E+031,1.35362764546983E+023,134651
21446262,2024-12-20 20:56:59,0x425c5f22747d2110b4ed0df1f428dc55506bc29d390a206e22d2b61f30daaa84,171,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.94934560419676E+016,2.80882136940039E+022,6.64890048335472E+031,1.35362764546983E+023,134655
21446270,2024-12-20 20:58:35,0xa188b756a7a5b3c65a0c299a5b161550b99e96159606a9c10d215e2ac1ce5b63,174,0x21edad4d801974a824404e4ed4b3bd95ab876b34,4.95625E+017,-3.44516302986448E+023,6.62873585851629E+031,1.35362764546983E+023,134595
21446275,2024-12-20 20:59:35,0xfcdae0110fd4693ea08ff6cc439aa7bdac31ed3b37c78fc7316cf0b79f048bad,321,0x21edad4d801974a824404e4ed4b3bd95ab876b34,3.03405726566982E+016,-2.10223182110179E+022,6.6275054170066E+031,1.35362764546983E+023,134591
21446282,2024-12-20 21:00:59,0xdfe1c68e271eb91ba5b8f9fe68b371c5167f91e463dff484fa7b8a8bab14f31c,148,0x21edad4d801974a824404e4ed4b3bd95ab876b34,3.87412705492396E+017,-2.67745347912605E+023,6.61183421524898E+031,1.35362764546983E+023,134544
21446288,2024-12-20 21:02:11,0x0d9ed99462ba530acada647e98789ae0a2cb4be8e53c09201729de745d9ad76d,123,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-4.45118685314079E+016,3.13216455781263E+022,6.61364914631221E+031,1.35362764546983E+023,134549
